,Artist,Album,Year,Label,Played on RKoL Date,Condition,Condition Notes,Generic Notes On Album Content
171,Various,The Lone Ranger,????,Radiola MR-1056,11/29/11,,,
172,Various,Just For Laughs,????,One-Up OU 2079,07/02/12,,,
173,Various,The Official Italian/Polish Comedy Album,????,Samada Records 8001,n/a,,warped,
174,Various,If The Bomb Falls: A Recorded Guide To Survival,????,Tops L 1728,n/a,,no cover,
175,Various,The Great Radio Comedians,????,Murrayhill Records 931699,n/a,G+,Disc 1 Side A very scratched.,
176,Various,You Don't Have To Be Jewish,????,Kapp KRL-4503,n/a,VG,,
177,The Ventures,Christmas Album,1965,Dolton BST-8038,12/20/11,,,
178,Betty Walker,Hello Ceil – It's Me!!!,????,Columbia CS-9744,12/12/11,,,
179,Rusty Warren,Sin-Sational,1961,Jubilee JG 2034,n/a,VG,,
180,Rusty Warren,Bounces Back,1961,Jubilee JG 2039,12/05/11,,,
181,Rusty Warren,Knockers Up!,1960,Jubilee JG 2029,10/03/11,,,
182,Rusty Warren,In Orbit,1962,Jubilee JG 2044,n/a,,,
183,Rusty Warren,Songs for Sinners,????,Jubilee JG 2024,08/13/12,VG,,
184,Mae West,The Fabulous Mae West,1980,MCA Records MCA-1530,n/a,,,
185,Flip Wilson,The Devil Made Me Buy this Dress,????,Little David LD 1000,n/a,,,
186,Fiip Wilson,The Flip Wilson Show w/ David Frost,????,Little David LD 2000,n/a,,,
187,Jonathan Winters,Movies Are Better Than Ever,1966,Verve V-15057,01/20/11,,,
188,Jonathan Winters,The Best Of Maude Frickert & Elwood P. Suggins,1959,Verve V-15052,n/a,,,
189,Jonathan Winters,Jonathan Winters ... Wings It!,1969,Columbia CL 2811,02/14/11,,,
190,Robin Williams,Reality ... What a concept,1979,Casablanca NBLP 7162,01/14/11,,,
191,Robin Williams,Throbbing Python of Love,1983,Casablanca 422-811 150-1 M-1,12/31/10,,,
192,Woody Woodbury,Woody Woodbury Looks at Love and Life,1959,Stereoddities MW-1,11/08/10,,,
193,Woody Woodbury,Concert In Comedy,????,Stereoddities MW-3,09/08/12,VG+,,
194,Woody Woodbury,Saloonatics,1961,Stereoddities MW-4,05/07/12,VG+,,
